,name,city,state_code,state_name,city_longitude,city_latitude
67,3 Daughters Brewing,St Petersburg,FL,Florida,-82.6695085,27.7703796
68,Red Shedman Farm Brewery and Hop...,Mt. Airy,MD,Maryland,-77.1549078,39.3765918
69,Appalachian Mountain Brewery,Boone,NC,North Carolina,-81.6746158,36.2165362
70,Birdsong Brewing Company,Charlotte,NC,North Carolina,-80.8430827,35.2272086
71,Union Craft Brewing,Baltimore,MD,Maryland,-76.610759,39.2908816
72,Atwater Brewery,Detroit,MI,Michigan,-83.0466403,42.3315509
73,Ale Asylum,Madison,WI,Wisconsin,-89.3837613,43.074761
74,Two Brothers Brewing Company,Warrenville,IL,Illinois,-88.174097,41.8179303
75,Bent Paddle Brewing Company,Duluth,MN,Minnesota,-92.1251218,46.7729322
76,Bell's Brewery,Kalamazoo,MI,Michigan,-85.5872286,42.291707
77,Blue Owl Brewing,Austin,TX,Texas,-97.7436995,30.2711286
78,Speakasy Ales & Lagers,San Francisco,CA,California,-122.419906,37.7790262
79,Black Tooth Brewing Company,Sheridan,WY,Wyoming,-106.956179,44.797194
80,Hopworks Urban Brewery,Portland,OR,Oregon,-122.674194,45.5202471
81,Epic Brewing,Denver,CO,Colorado,-104.984862,39.7392364
82,New Belgium Brewing Company,Fort Collins,CO,Colorado,-105.0668085,40.5508527
83,Sierra Nevada Brewing Company,Chico,CA,California,-121.8374777,39.7284945
84,Keweenaw Brewing Company,Houghton,MI,Michigan,-88.7774734,46.8591287
85,Brewery Terra Firma,Traverse City,MI,Michigan,-85.6165301,44.7606441
86,Grey Sail Brewing Company,Westerly,RI,Rhode Island,-71.8272911,41.3775996
87,Kirkwood Station Brewing Company,Kirkwood,MO,Missouri,-90.4069177,38.5800713
88,Goose Island Brewing Company,Chicago,IL,Illinois,-87.6244212,41.8755616
89,Broad Brook Brewing LLC,East Windsor,CT,Connecticut,-72.6130726,41.9156316
90,The Lion Brewery,Wilkes-Barre,PA,Pennsylvania,-75.8817316,41.2464824
91,Madtree Brewing Company,Cincinnati,OH,Ohio,-84.5124602,39.1014537
92,Jackie O's Pub & Brewery,Athens,OH,Ohio,-82.0610404,39.355589
93,Rhinegeist Brewery,Cincinnati,OH,Ohio,-84.5124602,39.1014537
94,Warped Wing Brewing Company,Dayton,OH,Ohio,-84.1916069,39.7589478
95,Blackrocks Brewery,Marquette,MA,Massachusetts,-72.566753,42.136362
96,Catawba Valley Brewing Company,Morganton,NC,North Carolina,-81.6870837,35.7454291
97,Tröegs Brewing Company,Hershey,PA,Pennsylvania,-76.6506001,40.2854881
98,Mission Brewery,San Diego,CA,California,-117.1627728,32.7174202
99,Christian Moerlein Brewing Company,Cincinnati,OH,Ohio,-84.5124602,39.1014537
100,West Sixth Brewing,Lexington,KY,Kentucky,-84.4970393,38.0464066
101,Coastal Extreme Brewing Company,Newport,RI,Rhode Island,-71.3137707,41.4899827
102,King Street Brewing Company,Anchorage,AK,Alaska,-149.894852,61.2163129
103,Beer Works Brewery,Lowell,MA,Massachusetts,-71.3085329,42.6414437
104,Lone Tree Brewing Company,Lone Tree,CO,Colorado,-104.8969537,39.536301
105,Four String Brewing Company,Columbus,OH,Ohio,-83.0007065,39.9622601
106,Glabrous Brewing Company,Pineland,ME,Maine,-70.2425469357766,43.894483199999996
107,Bonfire Brewing Company,Eagle,CO,Colorado,-106.7172844,39.6161124
108,Thomas Hooker Brewing Company,Bloomfield,CT,Connecticut,-72.72561745427248,41.82694705
109,"Woodstock Inn, Station & Brewery",North Woodstock,NH,New Hampshire,-71.6859143,44.0303449
110,Renegade Brewing Company,Denver,CO,Colorado,-104.984862,39.7392364
111,Mother Earth Brew Company,Vista,CA,California,-117.2425355,33.2000368
112,Black Market Brewing Company,Temecula,CA,California,-117.1473661,33.4946353
113,Vault Brewing Company,Yardley,PA,Pennsylvania,-74.8459972,40.245664
114,Jailbreak Brewing Company,Laurel,MD,Maryland,-76.8669233,39.1044123
115,Smartmouth Brewing Company,Norfolk,VA,Virginia,-76.2863999,36.8448348
116,Base Camp Brewing Co.,Portland,OR,Oregon,-122.674194,45.5202471
117,Alameda Brewing,Portland,OR,Oregon,-122.674194,45.5202471
118,Southern Star Brewing Company,Conroe,TX,Texas,-95.4560512,30.3118769
119,Steamworks Brewing Company,Durango,CO,Colorado,-107.82158179169292,37.2395367
120,Horny Goat Brew Pub,Milwaukee,WI,Wisconsin,-87.922497,43.0349931
121,Cheboygan Brewing Company,Cheboygan,MI,Michigan,-84.4768486,45.4417481
122,Center of the Universe Brewing C...,Ashland,VA,Virginia,-77.4806603,37.7594012
123,Ipswich Ale Brewery,Ipswich,MA,Massachusetts,-70.8411583,42.679273
124,Griffin Claw Brewing Company,Birmingham,MI,Michigan,-83.2113192,42.5467012
125,Karbach Brewing Company,Houston,TX,Texas,-95.3676974,29.7589382
126,Uncle Billy's Brewery and Smokeh...,Austin,TX,Texas,-97.7436995,30.2711286
127,Deep Ellum Brewing Company,Dallas,TX,Texas,-96.7968559,32.7762719
128,Real Ale Brewing Company,Blanco,TX,Texas,-98.4004594,30.2419274
129,Straub Brewery,St Mary's,PA,Pennsylvania,-76.47198480060547,40.8046943
130,Shebeen Brewing Company,Wolcott,CT,Connecticut,-72.9867718,41.6023196
131,Stevens Point Brewery,Stevens Point,WI,Wisconsin,-89.574111,44.5229223
132,Weston Brewing Company,Weston,MO,Missouri,-94.9006328,39.4143273
133,Southern Prohibition Brewing Com...,Hattiesburg,MS,Mississippi,-89.2903392,31.3271189
134,Minhas Craft Brewery,Monroe,WI,Wisconsin,-90.6397264,43.9416755
135,Pug Ryan's Brewery,Dillon,CO,Colorado,-106.0433023,39.6302657
136,Hops & Grains Brewing Company,Austin,TX,Texas,-97.7436995,30.2711286
137,Sietsema Orchards and Cider Mill,Ada,MI,Michigan,-85.4879523,42.9547136
138,Summit Brewing Company,St Paul,MN,Minnesota,-93.0931028,44.9497487
139,Core Brewing & Distilling Company,Springdale,AR,Arkansas,-94.1288142,36.1867442
140,Independence Brewing Company,Austin,TX,Texas,-97.7436995,30.2711286
141,Cigar City Brewing Company,Tampa,FL,Florida,-82.458444,27.9477595
142,Third Street Brewhouse,Cold Spring,MN,Minnesota,-94.4288849,45.4557973
143,Narragansett Brewing Company,Providence,RI,Rhode Island,-71.4128343,41.8239891
144,Grimm Brothers Brewhouse,Loveland,CO,Colorado,-105.04436132094955,40.385549
145,Cisco Brewers,Nantucket,MA,Massachusetts,-70.00901408779944,41.315731400000004
146,Angry Minnow,Hayward,WI,Wisconsin,-91.4848728,46.0129676
147,Platform Beer Company,Cleveland,OH,Ohio,-81.6936772,41.4996574
148,Odyssey Beerwerks,Arvada,CO,Colorado,-105.0811573,39.8005505
149,Lonerider Brewing Company,Raleigh,NC,North Carolina,-78.6390989,35.7803977
150,Oakshire Brewing,Eugene,OR,Oregon,-123.0950506,44.0505054
151,Fort Pitt Brewing Company,Latrobe,PA,Pennsylvania,-79.3840301,40.317287
152,Tin Roof Brewing Company,Baton Rouge,LA,Louisiana,-91.1869659,30.4494155
153,Three Creeks Brewing,Sisters,OR,Oregon,-121.5492516,44.290948
154,2 Towns Ciderhouse,Corvallis,OR,Oregon,-123.2620435,44.5645659
155,Caldera Brewing Company,Ashland,OR,Oregon,-122.7153995,42.1972487
156,Greenbrier Valley Brewing Company,Lewisburg,WV,West Virginia,-80.4456303,37.8017879
157,Phoenix Ale Brewery,Phoenix,AZ,Arizona,-112.074141,33.4484367
158,Lumberyard Brewing Company,Flagstaff,AZ,Arizona,-111.6165953319917,35.1816047
159,Uinta Brewing Company,Salt Lake City,UT,Utah,-111.886797,40.7596198
160,Four Peaks Brewing Company,Tempe,AZ,Arizona,-111.9400164,33.4255117
161,Martin House Brewing Company,Fort Worth,TX,Texas,-97.3327459,32.753177
162,Right Brain Brewery,Traverse City,MI,Michigan,-85.6165301,44.7606441
163,Sly Fox Brewing Company,Phoenixville,PA,Pennsylvania,-75.5149128,40.1303822
164,Round Guys Brewing,Lansdale,PA,Pennsylvania,-75.2837862,40.2414952
165,Great Crescent Brewery,Aurora,IN,Indiana,-84.9013402,39.0570022
166,Oskar Blues Brewery,Longmont,CO,Colorado,-105.1019287,40.1672117
167,Boxcar Brewing Company,West Chester,PA,Pennsylvania,-75.6059638,39.9597213
168,High Hops Brewery,Windsor,CO,Colorado,-104.901361,40.4774818
169,Crooked Fence Brewing Company,Garden City,ID,Idaho,-116.238178,43.622111
170,Everybody's Brewing,White Salmon,WA,Washington,-121.4864619,45.7276194
171,Anderson Valley Brewing Company,Boonville,CA,California,-123.3661111,39.0091667
172,Fiddlehead Brewing Company,Shelburne,VT,Vermont,-73.2276183,44.3783486
173,Evil Twin Brewing,Brooklyn,NY,New York,-73.9497211,40.6526006
174,New Orleans Lager & Ale Brewing ...,New Orleans,LA,Louisiana,-90.0782127,29.9759983
175,Spiteful Brewing Company,Chicago,IL,Illinois,-87.6244212,41.8755616
176,Rahr & Sons Brewing Company,Fort Worth,TX,Texas,-97.3327459,32.753177
177,18th Street Brewery,Gary,IN,Indiana,-87.3370647,41.6020962
178,Cambridge Brewing Company,Cambridge,MA,Massachusetts,-71.1056157,42.3750997
179,Carolina Brewery,Pittsboro,NC,North Carolina,-79.1771539,35.7201229
180,Frog Level Brewing Company,Waynesville,NC,North Carolina,-82.9888725,35.4887476
181,Wild Wolf Brewing Company,Nellysford,VA,Virginia,-78.8722444,37.8904176
